,Electricity: Distribution Losses_lag1,Electricity: Exports_lag1,Electricity: Installed Capacity_lag1,Population: Growth Rate_lag1,Economics: GDP_lag1,Electricity: Distribution Losses_lag2,Electricity: Exports_lag2,Electricity: Installed Capacity_lag2,Population: Growth Rate_lag2,Economics: GDP_lag2,Electricity: Distribution Losses_lag3,Electricity: Exports_lag3,Electricity: Installed Capacity_lag3,Population: Growth Rate_lag3,Economics: GDP_lag3,Electricity: Distribution Losses_lag4,Electricity: Exports_lag4,Electricity: Installed Capacity_lag4,Population: Growth Rate_lag4,Economics: GDP_lag4,Electricity: Distribution Losses_lag5,Electricity: Exports_lag5,Electricity: Installed Capacity_lag5,Population: Growth Rate_lag5,Economics: GDP_lag5,Electricity: Distribution Losses,Electricity: Exports,Electricity: Installed Capacity,Population: Growth Rate,Economics: GDP
1997-01-01,11.202,0.384,27.35,1.6072051683193862,120403931885.441,12.216,0.157,26.571,1.633458192816672,96419225743.6737,11.741,0.197,25.07,1.66058312390259,71841461172.5964,9.703,0.193,22.688,1.6886241312523258,63743623232.012,5.808,0.0,19.784,1.6886241312523258,63743623232.012,13.838,0.522,29.447,1.581782675408638,113919163421.155
1998-01-01,13.838,0.522,29.447,1.581782675408638,113919163421.155,11.202,0.384,27.35,1.6072051683193862,120403931885.441,12.216,0.157,26.571,1.633458192816672,96419225743.6737,11.741,0.197,25.07,1.66058312390259,71841461172.5964,9.703,0.193,22.688,1.6886241312523258,63743623232.012,15.169,0.617,30.57,1.5571519161688967,110276913362.508
1999-01-01,15.169,0.617,30.57,1.5571519161688967,110276913362.508,13.838,0.522,29.447,1.581782675408638,113919163421.155,11.202,0.384,27.35,1.6072051683193862,120403931885.441,12.216,0.157,26.571,1.633458192816672,96419225743.6737,11.741,0.197,25.07,1.66058312390259,71841461172.5964,16.862,0.864,31.395,1.5332764722018273,113848450088.351
2000-01-01,16.862,0.864,31.395,1.5332764722018273,113848450088.351,15.169,0.617,30.57,1.5571519161688967,110276913362.508,13.838,0.522,29.447,1.581782675408638,113919163421.155,11.202,0.384,27.35,1.6072051683193862,120403931885.441,12.216,0.157,26.571,1.633458192816672,96419225743.6737,19.205,0.86,33.126,1.5101221249583268,109591707802.216
2001-01-01,19.205,0.86,33.126,1.5101221249583268,109591707802.216,16.862,0.864,31.395,1.5332764722018273,113848450088.351,15.169,0.617,30.57,1.5571519161688967,110276913362.508,13.838,0.522,29.447,1.581782675408638,113919163421.155,11.202,0.384,27.35,1.6072051683193862,120403931885.441,20.634,1.049,35.037,1.499666569445017,126878750295.944
2002-01-01,20.634,1.049,35.037,1.499666569445017,126878750295.944,19.205,0.86,33.126,1.5101221249583268,109591707802.216,16.862,0.864,31.395,1.5332764722018273,113848450088.351,15.169,0.617,30.57,1.5571519161688967,110276913362.508,13.838,0.522,29.447,1.581782675408638,113919163421.155,23.794,0.791,36.44,1.477508862966521,128626917503.72
2003-01-01,23.794,0.791,36.44,1.477508862966521,128626917503.72,20.634,1.049,35.037,1.499666569445017,126878750295.944,19.205,0.86,33.126,1.5101221249583268,109591707802.216,16.862,0.864,31.395,1.5332764722018273,113848450088.351,15.169,0.617,30.57,1.5571519161688967,110276913362.508,25.785,0.919,39.63,1.4559963872996735,153544751395.43
2004-01-01,25.785,0.919,39.63,1.4559963872996735,153544751395.43,23.794,0.791,36.44,1.477508862966521,128626917503.72,20.634,1.049,35.037,1.499666569445017,126878750295.944,19.205,0.86,33.126,1.5101221249583268,109591707802.216,16.862,0.864,31.395,1.5332764722018273,113848450088.351,30.777,1.837,41.918,1.4351013632960172,190043433964.841
2005-01-01,30.777,1.837,41.918,1.4351013632960172,190043433964.841,25.785,0.919,39.63,1.4559963872996735,153544751395.43,23.794,0.791,36.44,1.477508862966521,128626917503.72,20.634,1.049,35.037,1.499666569445017,126878750295.944,19.205,0.86,33.126,1.5101221249583268,109591707802.216,32.338,2.761,40.0651,1.4147975838818498,226452138291.542
2006-01-01,32.338,2.761,40.0651,1.4147975838818498,226452138291.542,30.777,1.837,41.918,1.4351013632960172,190043433964.841,25.785,0.919,39.63,1.4559963872996735,153544751395.43,23.794,0.791,36.44,1.477508862966521,128626917503.72,20.634,1.049,35.037,1.499666569445017,126878750295.944,35.733,2.775,45.0193,1.3950603044014829,266298911661.144
2007-01-01,35.733,2.775,45.0193,1.3950603044014829,266298911661.144,32.338,2.761,40.0651,1.4147975838818498,226452138291.542,30.777,1.837,41.918,1.4351013632960172,190043433964.841,25.785,0.919,39.63,1.4559963872996735,153544751395.43,23.794,0.791,36.44,1.477508862966521,128626917503.72,38.714,2.52,49.0691,1.3758661420125653,349881601458.56
2008-01-01,38.714,2.52,49.0691,1.3758661420125653,349881601458.56,35.733,2.775,45.0193,1.3950603044014829,266298911661.144,32.338,2.761,40.0651,1.4147975838818498,226452138291.542,30.777,1.837,41.918,1.4351013632960172,190043433964.841,25.785,0.919,39.63,1.4559963872996735,153544751395.43,37.621,3.875,55.624,1.3571929832739087,412336172446.849
2009-01-01,37.621,3.875,55.624,1.3571929832739087,412336172446.849,38.714,2.52,49.0691,1.3758661420125653,349881601458.56,35.733,2.775,45.0193,1.3950603044014829,266298911661.144,32.338,2.761,40.0651,1.4147975838818498,226452138291.542,30.777,1.837,41.918,1.4351013632960172,190043433964.841,34.547,6.152,60.7546,1.3390198991579163,416397025729.361
2010-01-01,34.547,6.152,60.7546,1.3390198991579163,416397025729.361,37.621,3.875,55.624,1.3571929832739087,412336172446.849,38.714,2.52,49.0691,1.3758661420125653,349881601458.56,35.733,2.775,45.0193,1.3950603044014829,266298911661.144,32.338,2.761,40.0651,1.4147975838818498,226452138291.542,33.062,6.707,66.4946,1.3213270668004982,486807615326.147
2011-01-01,33.062,6.707,66.4946,1.3213270668004982,486807615326.147,34.547,6.152,60.7546,1.3390198991579163,416397025729.361,37.621,3.875,55.624,1.3571929832739087,412336172446.849,38.714,2.52,49.0691,1.3758661420125653,349881601458.56,35.733,2.775,45.0193,1.3950603044014829,266298911661.144,34.906,8.668,65.1194,1.7027087177642737,580764902917.439
2012-01-01,34.906,8.668,65.1194,1.7027087177642737,580764902917.439,33.062,6.707,66.4946,1.3213270668004982,486807615326.147,34.547,6.152,60.7546,1.3390198991579163,416397025729.361,37.621,3.875,55.624,1.3571929832739087,412336172446.849,38.714,2.52,49.0691,1.3758661420125653,349881601458.56,36.794,11.029,68.853,1.6742019354562814,598868460912.847
2013-01-01,36.794,11.029,68.853,1.6742019354562814,598868460912.847,34.906,8.668,65.1194,1.7027087177642737,580764902917.439,33.062,6.707,66.4946,1.3213270668004982,486807615326.147,34.547,6.152,60.7546,1.3390198991579163,416397025729.361,37.621,3.875,55.624,1.3571929832739087,412336172446.849,38.049,11.586,70.33926,1.6466339578638256,460293149324.326
