,Electricity: Distribution Losses_lag1,Electricity: Exports_lag1,Electricity: Imports_lag1,Electricity: Installed Capacity_lag1,Electricity: Net Consumption_lag1,Electricity: Net Generation_lag1,Population: Density_lag1,Population: Growth Rate_lag1,Economics: GDP_lag1,Electricity: Distribution Losses_lag2,Electricity: Exports_lag2,Electricity: Imports_lag2,Electricity: Installed Capacity_lag2,Electricity: Net Consumption_lag2,Electricity: Net Generation_lag2,Population: Density_lag2,Population: Growth Rate_lag2,Economics: GDP_lag2,Electricity: Distribution Losses_lag3,Electricity: Exports_lag3,Electricity: Imports_lag3,Electricity: Installed Capacity_lag3,Electricity: Net Consumption_lag3,Electricity: Net Generation_lag3,Population: Density_lag3,Population: Growth Rate_lag3,Economics: GDP_lag3,Electricity: Distribution Losses_lag4,Electricity: Exports_lag4,Electricity: Imports_lag4,Electricity: Installed Capacity_lag4,Electricity: Net Consumption_lag4,Electricity: Net Generation_lag4,Population: Density_lag4,Population: Growth Rate_lag4,Economics: GDP_lag4,Electricity: Distribution Losses_lag5,Electricity: Exports_lag5,Electricity: Imports_lag5,Electricity: Installed Capacity_lag5,Electricity: Net Consumption_lag5,Electricity: Net Generation_lag5,Population: Density_lag5,Population: Growth Rate_lag5,Economics: GDP_lag5,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Electricity: Installed Capacity,Electricity: Net Consumption,Electricity: Net Generation,Population: Density,Population: Growth Rate,Economics: GDP
1997-01-01,0.0,0.0,0.335,0.0,0.335,0.0,63.21122714544556,1.051356544494762,946123275.88212,0.0,0.0,0.324,0.0,0.324,0.0,62.55356613408005,1.0625274968701628,1001889856.91048,0.0,0.0,0.31,0.0,0.31,0.0,61.895905122714545,1.0739383875371895,878250450.602681,0.0,0.0,0.281,0.0,0.281,0.0,61.23824411134903,1.085597030784738,835592802.276831,0.0,0.0,0.241,0.0,0.241,0.0,60.58058309998353,1.085597030784738,831033941.093969,0.0,0.0,0.318,0.075,0.318,0.0,63.868888156811074,1.0404180413271644,997996028.645833
1998-01-01,0.0,0.0,0.318,0.075,0.318,0.0,63.868888156811074,1.0404180413271644,997996028.645833,0.0,0.0,0.335,0.0,0.335,0.0,63.21122714544556,1.051356544494762,946123275.88212,0.0,0.0,0.324,0.0,0.324,0.0,62.55356613408005,1.0625274968701628,1001889856.91048,0.0,0.0,0.31,0.0,0.31,0.0,61.895905122714545,1.0739383875371895,878250450.602681,0.0,0.0,0.281,0.0,0.281,0.0,61.23824411134903,1.085597030784738,835592802.276831,0.0,0.0,0.209,0.0757,0.209,0.0,64.52654916817657,1.0297048067453607,928458205.958432
1999-01-01,0.0,0.0,0.209,0.0757,0.209,0.0,64.52654916817657,1.0297048067453607,928458205.958432,0.0,0.0,0.318,0.075,0.318,0.0,63.868888156811074,1.0404180413271644,997996028.645833,0.0,0.0,0.335,0.0,0.335,0.0,63.21122714544556,1.051356544494762,946123275.88212,0.0,0.0,0.324,0.0,0.324,0.0,62.55356613408005,1.0625274968701628,1001889856.91048,0.0,0.0,0.31,0.0,0.31,0.0,61.895905122714545,1.0739383875371895,878250450.602681,0.01365,0.0,0.055,0.0757,0.23635,0.195,65.18421017954208,1.0192099528698448,912771290.61298
2000-01-01,0.01365,0.0,0.055,0.0757,0.23635,0.195,65.18421017954208,1.0192099528698448,912771290.61298,0.0,0.0,0.209,0.0757,0.209,0.0,64.52654916817657,1.0297048067453607,928458205.958432,0.0,0.0,0.318,0.075,0.318,0.0,63.868888156811074,1.0404180413271644,997996028.645833,0.0,0.0,0.335,0.0,0.335,0.0,63.21122714544556,1.051356544494762,946123275.88212,0.0,0.0,0.324,0.0,0.324,0.0,62.55356613408005,1.0625274968701628,1001889856.91048,0.0,0.0126,0.012,0.0757,0.2874,0.288,65.8418711909076,1.0089268697957088,887295267.875155
2001-01-01,0.0,0.0126,0.012,0.0757,0.2874,0.288,65.8418711909076,1.0089268697957088,887295267.875155,0.01365,0.0,0.055,0.0757,0.23635,0.195,65.18421017954208,1.0192099528698448,912771290.61298,0.0,0.0,0.209,0.0757,0.209,0.0,64.52654916817657,1.0297048067453607,928458205.958432,0.0,0.0,0.318,0.075,0.318,0.0,63.868888156811074,1.0404180413271644,997996028.645833,0.0,0.0,0.335,0.0,0.335,0.0,63.21122714544556,1.051356544494762,946123275.88212,0.0,0.0232,0.04,0.0757,0.3018,0.285,65.92132103442596,0.1206676573452791,825706961.238689
2002-01-01,0.0,0.0232,0.04,0.0757,0.3018,0.285,65.92132103442596,0.1206676573452791,825706961.238689,0.0,0.0126,0.012,0.0757,0.2874,0.288,65.8418711909076,1.0089268697957088,887295267.875155,0.01365,0.0,0.055,0.0757,0.23635,0.195,65.18421017954208,1.0192099528698448,912771290.61298,0.0,0.0,0.209,0.0757,0.209,0.0,64.52654916817657,1.0297048067453607,928458205.958432,0.0,0.0,0.318,0.075,0.318,0.0,63.868888156811074,1.0404180413271644,997996028.645833,0.0,0.0353,0.016,0.076,0.2947,0.314,66.00077087794432,0.1205222259985863,775780697.676625
2003-01-01,0.0,0.0353,0.016,0.076,0.2947,0.314,66.00077087794432,0.1205222259985863,775780697.676625,0.0,0.0232,0.04,0.0757,0.3018,0.285,65.92132103442596,0.1206676573452791,825706961.238689,0.0,0.0126,0.012,0.0757,0.2874,0.288,65.8418711909076,1.0089268697957088,887295267.875155,0.01365,0.0,0.055,0.0757,0.23635,0.195,65.18421017954208,1.0192099528698448,912771290.61298,0.0,0.0,0.209,0.0757,0.209,0.0,64.52654916817657,1.0297048067453607,928458205.958432,0.0,0.0403,0.038,0.076,0.3227,0.325,66.0802207214627,0.1203771447841106,1157832934.55127
2004-01-01,0.0,0.0403,0.038,0.076,0.3227,0.325,66.0802207214627,0.1203771447841106,1157832934.55127,0.0,0.0353,0.016,0.076,0.2947,0.314,66.00077087794432,0.1205222259985863,775780697.676625,0.0,0.0232,0.04,0.0757,0.3018,0.285,65.92132103442596,0.1206676573452791,825706961.238689,0.0,0.0126,0.012,0.0757,0.2874,0.288,65.8418711909076,1.0089268697957088,887295267.875155,0.01365,0.0,0.055,0.0757,0.23635,0.195,65.18421017954208,1.0192099528698448,912771290.61298,0.0,0.0061,0.025,0.0757,0.3159,0.297,66.15967056498106,0.1202324124388999,1511236655.52047
2005-01-01,0.0,0.0061,0.025,0.0757,0.3159,0.297,66.15967056498106,0.1202324124388999,1511236655.52047,0.0,0.0403,0.038,0.076,0.3227,0.325,66.0802207214627,0.1203771447841106,1157832934.55127,0.0,0.0353,0.016,0.076,0.2947,0.314,66.00077087794432,0.1205222259985863,775780697.676625,0.0,0.0232,0.04,0.0757,0.3018,0.285,65.92132103442596,0.1206676573452791,825706961.238689,0.0,0.0126,0.012,0.0757,0.2874,0.288,65.8418711909076,1.0089268697957088,887295267.875155,0.0,0.0223,0.013,0.076,0.4497,0.459,66.23912040849942,0.1200880277061385,1682350934.85132
2006-01-01,0.0,0.0223,0.013,0.076,0.4497,0.459,66.23912040849942,0.1200880277061385,1682350934.85132,0.0,0.0061,0.025,0.0757,0.3159,0.297,66.15967056498106,0.1202324124388999,1511236655.52047,0.0,0.0403,0.038,0.076,0.3227,0.325,66.0802207214627,0.1203771447841106,1157832934.55127,0.0,0.0353,0.016,0.076,0.2947,0.314,66.00077087794432,0.1205222259985863,775780697.676625,0.0,0.0232,0.04,0.0757,0.3018,0.285,65.92132103442596,0.1206676573452791,825706961.238689,0.0,0.0112,0.04,0.076,0.5538,0.525,66.31857025201779,0.1199439893349941,1800105589.60349
2007-01-01,0.0,0.0112,0.04,0.076,0.5538,0.525,66.31857025201779,0.1199439893349941,1800105589.60349,0.0,0.0223,0.013,0.076,0.4497,0.459,66.23912040849942,0.1200880277061385,1682350934.85132,0.0,0.0061,0.025,0.0757,0.3159,0.297,66.15967056498106,0.1202324124388999,1511236655.52047,0.0,0.0403,0.038,0.076,0.3227,0.325,66.0802207214627,0.1203771447841106,1157832934.55127,0.0,0.0353,0.016,0.076,0.2947,0.314,66.00077087794432,0.1205222259985863,775780697.676625,0.0,0.0085,0.05,0.08,0.5955,0.554,66.39802009553615,0.1198002960806398,1682016947.22798
2008-01-01,0.0,0.0085,0.05,0.08,0.5955,0.554,66.39802009553615,0.1198002960806398,1682016947.22798,0.0,0.0112,0.04,0.076,0.5538,0.525,66.31857025201779,0.1199439893349941,1800105589.60349,0.0,0.0223,0.013,0.076,0.4497,0.459,66.23912040849942,0.1200880277061385,1682350934.85132,0.0,0.0061,0.025,0.0757,0.3159,0.297,66.15967056498106,0.1202324124388999,1511236655.52047,0.0,0.0403,0.038,0.076,0.3227,0.325,66.0802207214627,0.1203771447841106,1157832934.55127,0.0,0.0038,0.05,0.08,0.6302,0.584,66.47746993905453,0.1196569467042187,1766825412.77296
2009-01-01,0.0,0.0038,0.05,0.08,0.6302,0.584,66.47746993905453,0.1196569467042187,1766825412.77296,0.0,0.0085,0.05,0.08,0.5955,0.554,66.39802009553615,0.1198002960806398,1682016947.22798,0.0,0.0112,0.04,0.076,0.5538,0.525,66.31857025201779,0.1199439893349941,1800105589.60349,0.0,0.0223,0.013,0.076,0.4497,0.459,66.23912040849942,0.1200880277061385,1682350934.85132,0.0,0.0061,0.025,0.0757,0.3159,0.297,66.15967056498106,0.1202324124388999,1511236655.52047,0.0,0.0017,0.124,0.08,0.7703,0.648,66.55691978257289,0.1195139399727498,1740830510.87482
2010-01-01,0.0,0.0017,0.124,0.08,0.7703,0.648,66.55691978257289,0.1195139399727498,1740830510.87482,0.0,0.0038,0.05,0.08,0.6302,0.584,66.47746993905453,0.1196569467042187,1766825412.77296,0.0,0.0085,0.05,0.08,0.5955,0.554,66.39802009553615,0.1198002960806398,1682016947.22798,0.0,0.0112,0.04,0.076,0.5538,0.525,66.31857025201779,0.1199439893349941,1800105589.60349,0.0,0.0223,0.013,0.076,0.4497,0.459,66.23912040849942,0.1200880277061385,1682350934.85132,0.0,0.0055,0.201,0.08,0.8895,0.694,66.63636962609125,0.1193712746592089,2234731973.55119
2011-01-01,0.0,0.0055,0.201,0.08,0.8895,0.694,66.63636962609125,0.1193712746592089,2234731973.55119,0.0,0.0017,0.124,0.08,0.7703,0.648,66.55691978257289,0.1195139399727498,1740830510.87482,0.0,0.0038,0.05,0.08,0.6302,0.584,66.47746993905453,0.1196569467042187,1766825412.77296,0.0,0.0085,0.05,0.08,0.5955,0.554,66.39802009553615,0.1198002960806398,1682016947.22798,0.0,0.0112,0.04,0.076,0.5538,0.525,66.31857025201779,0.1199439893349941,1800105589.60349,0.0,0.0392,0.26,0.08,0.7108,0.49,67.26739581617527,0.946969640790472,2579421686.24912
2012-01-01,0.0,0.0392,0.26,0.08,0.7108,0.49,67.26739581617527,0.946969640790472,2579421686.24912,0.0,0.0055,0.201,0.08,0.8895,0.694,66.63636962609125,0.1193712746592089,2234731973.55119,0.0,0.0017,0.124,0.08,0.7703,0.648,66.55691978257289,0.1195139399727498,1740830510.87482,0.0,0.0038,0.05,0.08,0.6302,0.584,66.47746993905453,0.1196569467042187,1766825412.77296,0.0,0.0085,0.05,0.08,0.5955,0.554,66.39802009553615,0.1198002960806398,1682016947.22798,0.0,0.021,0.31,0.08,0.775,0.486,67.89842200625927,0.9380862488098128,2477702252.80078
2013-01-01,0.0,0.021,0.31,0.08,0.775,0.486,67.89842200625927,0.9380862488098128,2477702252.80078,0.0,0.0392,0.26,0.08,0.7108,0.49,67.26739581617527,0.946969640790472,2579421686.24912,0.0,0.0055,0.201,0.08,0.8895,0.694,66.63636962609125,0.1193712746592089,2234731973.55119,0.0,0.0017,0.124,0.08,0.7703,0.648,66.55691978257289,0.1195139399727498,1740830510.87482,0.0,0.0038,0.05,0.08,0.6302,0.584,66.47746993905453,0.1196569467042187,1766825412.77296,0.0,0.0022,0.285,0.0804,0.7978,0.515,68.52944819634327,0.9293679756295782,2367113170.00373
