,Electricity: Distribution Losses_lag1,Electricity: Exports_lag1,Electricity: Imports_lag1,Electricity: Installed Capacity_lag1,Electricity: Net Consumption_lag1,Electricity: Net Generation_lag1,Population: Growth Rate_lag1,Economics: GDP_lag1,Electricity: Distribution Losses_lag2,Electricity: Exports_lag2,Electricity: Imports_lag2,Electricity: Installed Capacity_lag2,Electricity: Net Consumption_lag2,Electricity: Net Generation_lag2,Population: Growth Rate_lag2,Economics: GDP_lag2,Electricity: Distribution Losses_lag3,Electricity: Exports_lag3,Electricity: Imports_lag3,Electricity: Installed Capacity_lag3,Electricity: Net Consumption_lag3,Electricity: Net Generation_lag3,Population: Growth Rate_lag3,Economics: GDP_lag3,Electricity: Distribution Losses_lag4,Electricity: Exports_lag4,Electricity: Imports_lag4,Electricity: Installed Capacity_lag4,Electricity: Net Consumption_lag4,Electricity: Net Generation_lag4,Population: Growth Rate_lag4,Economics: GDP_lag4,Electricity: Distribution Losses_lag5,Electricity: Exports_lag5,Electricity: Imports_lag5,Electricity: Installed Capacity_lag5,Electricity: Net Consumption_lag5,Electricity: Net Generation_lag5,Population: Growth Rate_lag5,Economics: GDP_lag5,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Electricity: Installed Capacity,Electricity: Net Consumption,Electricity: Net Generation,Population: Growth Rate,Economics: GDP
1997-01-01,0.804,0.026,0.0,1.455,5.456,6.286,-0.0305626257009265,4642018353.67211,0.701,0.0,0.0,1.455,5.103,5.804,-0.0305532878139326,4707036096.48961,0.644,0.05,0.23,1.366,5.027,5.491,-0.0305439556312588,3559607241.25816,0.601,0.016,0.62,1.426,4.899,4.896,-0.0305346291476684,2682456896.55172,0.439,0.209,0.45,1.426,5.523,5.721,-0.0305346291476684,2436849341.97604,0.816,0.0,0.0,1.466,5.558,6.374,-0.0305719692974723,3912986090.97363
1998-01-01,0.816,0.0,0.0,1.466,5.558,6.374,-0.0305719692974723,3912986090.97363,0.804,0.026,0.0,1.455,5.456,6.286,-0.0305626257009265,4642018353.67211,0.701,0.0,0.0,1.455,5.103,5.804,-0.0305532878139326,4707036096.48961,0.644,0.05,0.23,1.366,5.027,5.491,-0.0305439556312588,3559607241.25816,0.601,0.016,0.62,1.426,4.899,4.896,-0.0305346291476684,2682456896.55172,0.866,0.002,0.0,1.466,5.811,6.679,-0.0305813186087967,3765747304.98681
1999-01-01,0.866,0.002,0.0,1.466,5.811,6.679,-0.0305813186087967,3765747304.98681,0.816,0.0,0.0,1.466,5.558,6.374,-0.0305719692974723,3912986090.97363,0.804,0.026,0.0,1.455,5.456,6.286,-0.0305626257009265,4642018353.67211,0.701,0.0,0.0,1.455,5.103,5.804,-0.0305532878139326,4707036096.48961,0.644,0.05,0.23,1.366,5.027,5.491,-0.0305439556312588,3559607241.25816,0.978,0.103,0.0,1.4438,5.44,6.521,-0.0305906736401786,3863621185.97303
2000-01-01,0.978,0.103,0.0,1.4438,5.44,6.521,-0.0305906736401786,3863621185.97303,0.866,0.002,0.0,1.466,5.811,6.679,-0.0305813186087967,3765747304.98681,0.816,0.0,0.0,1.466,5.558,6.374,-0.0305719692974723,3912986090.97363,0.804,0.026,0.0,1.455,5.456,6.286,-0.0305626257009265,4642018353.67211,0.701,0.0,0.0,1.455,5.103,5.804,-0.0305532878139326,4707036096.48961,1.031,0.0,0.12,1.476,5.54954,6.46054,-0.0306000343968347,3772857145.0248
2001-01-01,1.031,0.0,0.12,1.476,5.54954,6.46054,-0.0306000343968347,3772857145.0248,0.978,0.103,0.0,1.4438,5.44,6.521,-0.0305906736401786,3863621185.97303,0.866,0.002,0.0,1.466,5.811,6.679,-0.0305813186087967,3765747304.98681,0.816,0.0,0.0,1.466,5.558,6.374,-0.0305719692974723,3912986090.97363,0.804,0.026,0.0,1.455,5.456,6.286,-0.0305626257009265,4642018353.67211,1.071,0.0,0.352,1.47,5.29284,6.01184,0.2742578765967112,3709637829.94866
2002-01-01,1.071,0.0,0.352,1.47,5.29284,6.01184,0.2742578765967112,3709637829.94866,1.031,0.0,0.12,1.476,5.54954,6.46054,-0.0306000343968347,3772857145.0248,0.978,0.103,0.0,1.4438,5.44,6.521,-0.0305906736401786,3863621185.97303,0.866,0.002,0.0,1.466,5.811,6.679,-0.0305813186087967,3765747304.98681,0.816,0.0,0.0,1.466,5.558,6.374,-0.0305719692974723,3912986090.97363,1.236,0.0,0.791,1.47,5.31796,5.76296,0.2735077600217483,4018365247.44444
2003-01-01,1.236,0.0,0.791,1.47,5.31796,5.76296,0.2735077600217483,4018365247.44444,1.071,0.0,0.352,1.47,5.29284,6.01184,0.2742578765967112,3709637829.94866,1.031,0.0,0.12,1.476,5.54954,6.46054,-0.0306000343968347,3772857145.0248,0.978,0.103,0.0,1.4438,5.44,6.521,-0.0305906736401786,3863621185.97303,0.866,0.002,0.0,1.466,5.811,6.679,-0.0305813186087967,3765747304.98681,1.307,0.0,0.953,1.46,6.04816,6.40216,0.2727617355087733,4946292774.79046
2004-01-01,1.307,0.0,0.953,1.46,6.04816,6.40216,0.2727617355087733,4946292774.79046,1.236,0.0,0.791,1.47,5.31796,5.76296,0.2735077600217483,4018365247.44444,1.071,0.0,0.352,1.47,5.29284,6.01184,0.2742578765967112,3709637829.94866,1.031,0.0,0.12,1.476,5.54954,6.46054,-0.0306000343968347,3772857145.0248,0.978,0.103,0.0,1.4438,5.44,6.521,-0.0305906736401786,3863621185.97303,1.377,0.0,1.176,1.528,6.1399,6.3409,0.2720197696640991,5682788267.12865
2005-01-01,1.377,0.0,1.176,1.528,6.1399,6.3409,0.2720197696640991,5682788267.12865,1.307,0.0,0.953,1.46,6.04816,6.40216,0.2727617355087733,4946292774.79046,1.236,0.0,0.791,1.47,5.31796,5.76296,0.2735077600217483,4018365247.44444,1.071,0.0,0.352,1.47,5.29284,6.01184,0.2742578765967112,3709637829.94866,1.031,0.0,0.12,1.476,5.54954,6.46054,-0.0306000343968347,3772857145.0248,1.592,0.0,1.599,1.552,6.60982,6.60282,0.2712818294564711,6258600713.82627
2006-01-01,1.592,0.0,1.599,1.552,6.60982,6.60282,0.2712818294564711,6258600713.82627,1.377,0.0,1.176,1.528,6.1399,6.3409,0.2720197696640991,5682788267.12865,1.307,0.0,0.953,1.46,6.04816,6.40216,0.2727617355087733,4946292774.79046,1.236,0.0,0.791,1.47,5.31796,5.76296,0.2735077600217483,4018365247.44444,1.071,0.0,0.352,1.47,5.29284,6.01184,0.2742578765967112,3709637829.94866,1.683,0.0,1.795,1.557,6.78346,6.67146,0.2705478822120505,6861222331.96317
2007-01-01,1.683,0.0,1.795,1.557,6.78346,6.67146,0.2705478822120505,6861222331.96317,1.592,0.0,1.599,1.552,6.60982,6.60282,0.2712818294564711,6258600713.82627,1.377,0.0,1.176,1.528,6.1399,6.3409,0.2720197696640991,5682788267.12865,1.307,0.0,0.953,1.46,6.04816,6.40216,0.2727617355087733,4946292774.79046,1.236,0.0,0.791,1.47,5.31796,5.76296,0.2735077600217483,4018365247.44444,1.509,0.0,2.491,1.562,7.14072,6.15872,0.2698178956096494,8336478142.08872
2008-01-01,1.509,0.0,2.491,1.562,7.14072,6.15872,0.2698178956096494,8336478142.08872,1.683,0.0,1.795,1.557,6.78346,6.67146,0.2705478822120505,6861222331.96317,1.592,0.0,1.599,1.552,6.60982,6.60282,0.2712818294564711,6258600713.82627,1.377,0.0,1.176,1.528,6.1399,6.3409,0.2720197696640991,5682788267.12865,1.307,0.0,0.953,1.46,6.04816,6.40216,0.2727617355087733,4946292774.79046,1.444,0.0,2.733,1.571,7.26374,5.97474,0.269091837675986,9909548410.82744
2009-01-01,1.444,0.0,2.733,1.571,7.26374,5.97474,0.269091837675986,9909548410.82744,1.509,0.0,2.491,1.562,7.14072,6.15872,0.2698178956096494,8336478142.08872,1.683,0.0,1.795,1.557,6.78346,6.67146,0.2705478822120505,6861222331.96317,1.592,0.0,1.599,1.552,6.60982,6.60282,0.2712818294564711,6258600713.82627,1.377,0.0,1.176,1.528,6.1399,6.3409,0.2720197696640991,5682788267.12865,1.187,0.0,1.438,1.599,6.73252,6.48152,0.2683696767809598,9401731495.71661
2010-01-01,1.187,0.0,1.438,1.599,6.73252,6.48152,0.2683696767809598,9401731495.71661,1.444,0.0,2.733,1.571,7.26374,5.97474,0.269091837675986,9909548410.82744,1.509,0.0,2.491,1.562,7.14072,6.15872,0.2698178956096494,8336478142.08872,1.683,0.0,1.795,1.557,6.78346,6.67146,0.2705478822120505,6861222331.96317,1.592,0.0,1.599,1.552,6.60982,6.60282,0.2712818294564711,6258600713.82627,1.279,0.0,1.42,1.644,7.08726,6.94626,0.2676513816331711,9407168702.4313
2011-01-01,1.279,0.0,1.42,1.644,7.08726,6.94626,0.2676513816331711,9407168702.4313,1.187,0.0,1.438,1.599,6.73252,6.48152,0.2683696767809598,9401731495.71661,1.444,0.0,2.733,1.571,7.26374,5.97474,0.269091837675986,9909548410.82744,1.509,0.0,2.491,1.562,7.14072,6.15872,0.2698178956096494,8336478142.08872,1.683,0.0,1.795,1.557,6.78346,6.67146,0.2705478822120505,6861222331.96317,1.388,0.073,2.749,1.644,7.7135,6.4255,0.1350063137946405,10494632699.3859
2012-01-01,1.388,0.073,2.749,1.644,7.7135,6.4255,0.1350063137946405,10494632699.3859,1.279,0.0,1.42,1.644,7.08726,6.94626,0.2676513816331711,9407168702.4313,1.187,0.0,1.438,1.599,6.73252,6.48152,0.2683696767809598,9401731495.71661,1.444,0.0,2.733,1.571,7.26374,5.97474,0.269091837675986,9909548410.82744,1.509,0.0,2.491,1.562,7.14072,6.15872,0.2698178956096494,8336478142.08872,1.296,0.072,2.741,1.706,7.31192,5.93892,0.1348242924872538,9745251126.0109
2013-01-01,1.296,0.072,2.741,1.706,7.31192,5.93892,0.1348242924872538,9745251126.0109,1.388,0.073,2.749,1.644,7.7135,6.4255,0.1350063137946405,10494632699.3859,1.279,0.0,1.42,1.644,7.08726,6.94626,0.2676513816331711,9407168702.4313,1.187,0.0,1.438,1.599,6.73252,6.48152,0.2683696767809598,9401731495.71661,1.444,0.0,2.733,1.571,7.26374,5.97474,0.269091837675986,9909548410.82744,1.152,0.062,2.491,1.717,7.08494,5.80794,0.1346427613368849,10817712138.9451
