,Electricity: Distribution Losses_lag1,Electricity: Exports_lag1,Electricity: Imports_lag1,Electricity: Installed Capacity_lag1,Electricity: Net Consumption_lag1,Electricity: Net Generation_lag1,Electricity: Net Imports_lag1,Population: Density_lag1,Population: Growth Rate_lag1,Economics: GDP_lag1,Electricity: Distribution Losses_lag2,Electricity: Exports_lag2,Electricity: Imports_lag2,Electricity: Installed Capacity_lag2,Electricity: Net Consumption_lag2,Electricity: Net Generation_lag2,Electricity: Net Imports_lag2,Population: Density_lag2,Population: Growth Rate_lag2,Economics: GDP_lag2,Electricity: Distribution Losses_lag3,Electricity: Exports_lag3,Electricity: Imports_lag3,Electricity: Installed Capacity_lag3,Electricity: Net Consumption_lag3,Electricity: Net Generation_lag3,Electricity: Net Imports_lag3,Population: Density_lag3,Population: Growth Rate_lag3,Economics: GDP_lag3,Electricity: Distribution Losses_lag4,Electricity: Exports_lag4,Electricity: Imports_lag4,Electricity: Installed Capacity_lag4,Electricity: Net Consumption_lag4,Electricity: Net Generation_lag4,Electricity: Net Imports_lag4,Population: Density_lag4,Population: Growth Rate_lag4,Economics: GDP_lag4,Electricity: Distribution Losses_lag5,Electricity: Exports_lag5,Electricity: Imports_lag5,Electricity: Installed Capacity_lag5,Electricity: Net Consumption_lag5,Electricity: Net Generation_lag5,Electricity: Net Imports_lag5,Population: Density_lag5,Population: Growth Rate_lag5,Economics: GDP_lag5,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Electricity: Installed Capacity,Electricity: Net Consumption,Electricity: Net Generation,Electricity: Net Imports,Population: Density,Population: Growth Rate,Economics: GDP
1997-01-01,7.186,1.435,2.242,23.501,51.684,58.063,0.807,93.48683129816142,-0.4094895646650289,36937074278.3004,6.738,0.456,0.8,22.276,50.154,56.548,0.344,93.8712241653418,-0.4078195860176267,37435317265.1254,5.065,1.05,1.82,22.06,48.186,52.481,0.77,94.2556170325222,-0.4061631730467513,30074440483.3837,5.628,1.118,2.99,22.261,49.034,52.79,1.872,94.6400098997026,-0.4045201611246969,26362894736.8421,5.525,0.218,4.35,22.268,50.139,51.532,4.132,95.02440276688296,-0.4045201611246969,25121666666.6667,6.6,0.817,1.038,23.489,48.270215,54.649215,0.221,93.10243843098102,-0.4111732763242681,35574916294.6429
1998-01-01,6.6,0.817,1.038,23.489,48.270215,54.649215,0.221,93.10243843098102,-0.4111732763242681,35574916294.6429,7.186,1.435,2.242,23.501,51.684,58.063,0.807,93.48683129816142,-0.4094895646650289,36937074278.3004,6.738,0.456,0.8,22.276,50.154,56.548,0.344,93.8712241653418,-0.4078195860176267,37435317265.1254,5.065,1.05,1.82,22.06,48.186,52.481,0.77,94.2556170325222,-0.4061631730467513,30074440483.3837,5.628,1.118,2.99,22.261,49.034,52.79,1.872,94.6400098997026,-0.4045201611246969,26362894736.8421,6.45,0.715,1.181,23.212,45.158,51.142,0.466,92.71804556380066,-0.4128708910941524,41694118972.5101
1999-01-01,6.45,0.715,1.181,23.212,45.158,51.142,0.466,92.71804556380066,-0.4128708910941524,41694118972.5101,6.6,0.817,1.038,23.489,48.270215,54.649215,0.221,93.10243843098102,-0.4111732763242681,35574916294.6429,7.186,1.435,2.242,23.501,51.684,58.063,0.807,93.48683129816142,-0.4094895646650289,36937074278.3004,6.738,0.456,0.8,22.276,50.154,56.548,0.344,93.8712241653418,-0.4078195860176267,37435317265.1254,5.065,1.05,1.82,22.06,48.186,52.481,0.77,94.2556170325222,-0.4061631730467513,30074440483.3837,6.387,1.93,1.2,22.891,41.389,48.506,-0.73,92.33365269662026,-0.4145825818943576,35952781582.2083
2000-01-01,6.387,1.93,1.2,22.891,41.389,48.506,-0.73,92.33365269662026,-0.4145825818943576,35952781582.2083,6.45,0.715,1.181,23.212,45.158,51.142,0.466,92.71804556380066,-0.4128708910941524,41694118972.5101,6.6,0.817,1.038,23.489,48.270215,54.649215,0.221,93.10243843098102,-0.4111732763242681,35574916294.6429,7.186,1.435,2.242,23.501,51.684,58.063,0.807,93.48683129816142,-0.4094895646650289,36937074278.3004,6.738,0.456,0.8,22.276,50.154,56.548,0.344,93.8712241653418,-0.4078195860176267,37435317265.1254,6.629,1.47,0.8,22.56,42.354,49.653,-0.67,91.94925982943988,-0.4163085245239754,37253259016.9976
2001-01-01,6.629,1.47,0.8,22.56,42.354,49.653,-0.67,91.94925982943988,-0.4163085245239754,37253259016.9976,6.387,1.93,1.2,22.891,41.389,48.506,-0.73,92.33365269662026,-0.4145825818943576,35952781582.2083,6.45,0.715,1.181,23.212,45.158,51.142,0.466,92.71804556380066,-0.4128708910941524,41694118972.5101,6.6,0.817,1.038,23.489,48.270215,54.649215,0.221,93.10243843098102,-0.4111732763242681,35574916294.6429,7.186,1.435,2.242,23.501,51.684,58.063,0.807,93.48683129816142,-0.4094895646650289,36937074278.3004,6.814,2.077,0.7,21.518,43.107,51.298,-1.377,91.284526261478,-0.7229352027356359,40394824679.1232
2002-01-01,6.814,2.077,0.7,21.518,43.107,51.298,-1.377,91.284526261478,-0.7229352027356359,40394824679.1232,6.629,1.47,0.8,22.56,42.354,49.653,-0.67,91.94925982943988,-0.4163085245239754,37253259016.9976,6.387,1.93,1.2,22.891,41.389,48.506,-0.73,92.33365269662026,-0.4145825818943576,35952781582.2083,6.45,0.715,1.181,23.212,45.158,51.142,0.466,92.71804556380066,-0.4128708910941524,41694118972.5101,6.6,0.817,1.038,23.489,48.270215,54.649215,0.221,93.10243843098102,-0.4111732763242681,35574916294.6429,6.686,3.29,0.436,20.314,42.639,52.179,-2.854,90.61979269351612,-0.7281996140920927,46066101951.2933
2003-01-01,6.686,3.29,0.436,20.314,42.639,52.179,-2.854,90.61979269351612,-0.7281996140920927,46066101951.2933,6.814,2.077,0.7,21.518,43.107,51.298,-1.377,91.284526261478,-0.7229352027356359,40394824679.1232,6.629,1.47,0.8,22.56,42.354,49.653,-0.67,91.94925982943988,-0.4163085245239754,37253259016.9976,6.387,1.93,1.2,22.891,41.389,48.506,-0.73,92.33365269662026,-0.4145825818943576,35952781582.2083,6.45,0.715,1.181,23.212,45.158,51.142,0.466,92.71804556380066,-0.4128708910941524,41694118972.5101,4.774,3.046,0.962,20.023,45.562,52.42,-2.084,89.95505912555424,-0.7335412587072049,57806506024.0964
2004-01-01,4.774,3.046,0.962,20.023,45.562,52.42,-2.084,89.95505912555424,-0.7335412587072049,57806506024.0964,6.686,3.29,0.436,20.314,42.639,52.179,-2.854,90.61979269351612,-0.7281996140920927,46066101951.2933,6.814,2.077,0.7,21.518,43.107,51.298,-1.377,91.284526261478,-0.7229352027356359,40394824679.1232,6.629,1.47,0.8,22.56,42.354,49.653,-0.67,91.94925982943988,-0.4163085245239754,37253259016.9976,6.387,1.93,1.2,22.891,41.389,48.506,-0.73,92.33365269662026,-0.4145825818943576,35952781582.2083,6.073,3.766,2.6,20.281,46.748,53.987,-1.166,89.29032555759235,-0.7389618487539205,74972669056.5922
2005-01-01,6.073,3.766,2.6,20.281,46.748,53.987,-1.166,89.29032555759235,-0.7389618487539205,74972669056.5922,4.774,3.046,0.962,20.023,45.562,52.42,-2.084,89.95505912555424,-0.7335412587072049,57806506024.0964,6.686,3.29,0.436,20.314,42.639,52.179,-2.854,90.61979269351612,-0.7281996140920927,46066101951.2933,6.814,2.077,0.7,21.518,43.107,51.298,-1.377,91.284526261478,-0.7229352027356359,40394824679.1232,6.629,1.47,0.8,22.56,42.354,49.653,-0.67,91.94925982943988,-0.4163085245239754,37253259016.9976,6.08,5.224,2.321,19.038,47.76,56.743,-2.903,88.62559198963048,-0.7444631473911738,98452791982.7024
2006-01-01,6.08,5.224,2.321,19.038,47.76,56.743,-2.903,88.62559198963048,-0.7444631473911738,98452791982.7024,6.073,3.766,2.6,20.281,46.748,53.987,-1.166,89.29032555759235,-0.7389618487539205,74972669056.5922,4.774,3.046,0.962,20.023,45.562,52.42,-2.084,89.95505912555424,-0.7335412587072049,57806506024.0964,6.686,3.29,0.436,20.314,42.639,52.179,-2.854,90.61979269351612,-0.7281996140920927,46066101951.2933,6.814,2.077,0.7,21.518,43.107,51.298,-1.377,91.284526261478,-0.7229352027356359,40394824679.1232,6.578,5.262,0.989,19.31,48.882,59.733,-4.273,87.9608584216686,-0.7500469706759804,122022997508.01
2007-01-01,6.578,5.262,0.989,19.31,48.882,59.733,-4.273,87.9608584216686,-0.7500469706759804,122022997508.01,6.08,5.224,2.321,19.038,47.76,56.743,-2.903,88.62559198963048,-0.7444631473911738,98452791982.7024,6.073,3.766,2.6,20.281,46.748,53.987,-1.166,89.29032555759235,-0.7389618487539205,74972669056.5922,4.774,3.046,0.962,20.023,45.562,52.42,-2.084,89.95505912555424,-0.7335412587072049,57806506024.0964,6.686,3.29,0.436,20.314,42.639,52.179,-2.854,90.61979269351612,-0.7281996140920927,46066101951.2933,6.751,3.359,1.269,20.507,49.763542,58.604542,-2.09,87.29612485370673,-0.75571518956223,174585202805.233
2008-01-01,6.751,3.359,1.269,20.507,49.763542,58.604542,-2.09,87.29612485370673,-0.75571518956223,174585202805.233,6.578,5.262,0.989,19.31,48.882,59.733,-4.273,87.9608584216686,-0.7500469706759804,122022997508.01,6.08,5.224,2.321,19.038,47.76,56.743,-2.903,88.62559198963048,-0.7444631473911738,98452791982.7024,6.073,3.766,2.6,20.281,46.748,53.987,-1.166,89.29032555759235,-0.7389618487539205,74972669056.5922,4.774,3.046,0.962,20.023,45.562,52.42,-2.084,89.95505912555424,-0.7335412587072049,57806506024.0964,7.19,5.169,0.921,19.635,50.264,61.702,-4.248,86.63139128574485,-0.7614697319908035,214313628965.024
2009-01-01,7.19,5.169,0.921,19.635,50.264,61.702,-4.248,86.63139128574485,-0.7614697319908035,214313628965.024,6.751,3.359,1.269,20.507,49.763542,58.604542,-2.09,87.29612485370673,-0.75571518956223,174585202805.233,6.578,5.262,0.989,19.31,48.882,59.733,-4.273,87.9608584216686,-0.7500469706759804,122022997508.01,6.08,5.224,2.321,19.038,47.76,56.743,-2.903,88.62559198963048,-0.7444631473911738,98452791982.7024,6.073,3.766,2.6,20.281,46.748,53.987,-1.166,89.29032555759235,-0.7389618487539205,74972669056.5922,7.029,2.946,0.651,19.453,45.423,54.747,-2.295,85.96665771778297,-0.7673125850759127,174103695930.213
2010-01-01,7.029,2.946,0.651,19.453,45.423,54.747,-2.295,85.96665771778297,-0.7673125850759127,174103695930.213,7.19,5.169,0.921,19.635,50.264,61.702,-4.248,86.63139128574485,-0.7614697319908035,214313628965.024,6.751,3.359,1.269,20.507,49.763542,58.604542,-2.09,87.29612485370673,-0.75571518956223,174585202805.233,6.578,5.262,0.989,19.31,48.882,59.733,-4.273,87.9608584216686,-0.7500469706759804,122022997508.01,6.08,5.224,2.321,19.038,47.76,56.743,-2.903,88.62559198963048,-0.7444631473911738,98452791982.7024,7.058,3.041,0.767,19.4705,48.34224,57.67424,-2.274,85.30192414982109,-0.7732457973928788,166309355234.589
2011-01-01,7.058,3.041,0.767,19.4705,48.34224,57.67424,-2.274,85.30192414982109,-0.7732457973928788,166309355234.589,7.029,2.946,0.651,19.453,45.423,54.747,-2.295,85.96665771778297,-0.7673125850759127,174103695930.213,7.19,5.169,0.921,19.635,50.264,61.702,-4.248,86.63139128574485,-0.7614697319908035,214313628965.024,6.751,3.359,1.269,20.507,49.763542,58.604542,-2.09,87.29612485370673,-0.75571518956223,174585202805.233,6.578,5.262,0.989,19.31,48.882,59.733,-4.273,87.9608584216686,-0.7500469706759804,122022997508.01,7.141,5.316,3.41,20.421,49.76878,58.81578,-1.906,84.94190049120982,-0.4220580745387815,183326740143.016
2012-01-01,7.141,5.316,3.41,20.421,49.76878,58.81578,-1.906,84.94190049120982,-0.4220580745387815,183326740143.016,7.058,3.041,0.767,19.4705,48.34224,57.67424,-2.274,85.30192414982109,-0.7732457973928788,166309355234.589,7.029,2.946,0.651,19.453,45.423,54.747,-2.295,85.96665771778297,-0.7673125850759127,174103695930.213,7.19,5.169,0.921,19.635,50.264,61.702,-4.248,86.63139128574485,-0.7614697319908035,214313628965.024,6.751,3.359,1.269,20.507,49.763542,58.604542,-2.09,87.29612485370673,-0.75571518956223,174585202805.233,7.062,3.65,3.903,21.691,48.91808,55.72708,0.253,84.58187683259854,-0.4238469548353693,170635805316.879
2013-01-01,7.062,3.65,3.903,21.691,48.91808,55.72708,0.253,84.58187683259854,-0.4238469548353693,170635805316.879,7.141,5.316,3.41,20.421,49.76878,58.81578,-1.906,84.94190049120982,-0.4220580745387815,183326740143.016,7.058,3.041,0.767,19.4705,48.34224,57.67424,-2.274,85.30192414982109,-0.7732457973928788,166309355234.589,7.029,2.946,0.651,19.453,45.423,54.747,-2.295,85.96665771778297,-0.7673125850759127,174103695930.213,7.19,5.169,0.921,19.635,50.264,61.702,-4.248,86.63139128574485,-0.7614697319908035,214313628965.024,7.021,4.753,2.737,22.614,46.71562,55.75262,-2.016,84.22185317398727,-0.4256510639079491,190801346194.297
